Independent,P-Value,Relationship,DepPos,Dependent,Hypothesis ID,Supported,Mediator/Moderator,IndPos,Relationship ID,MidPos,Type,Source ID
50754,.05,Negative Effect,"(300, -250)",25937,6884-1,1,,"(-300, 0)",2125,,Regular,6884
50751,.05,Positive Effect,"(300, -37)",25939,6884-2,1,,"(-300, -250)",2126,,Regular,6884
50754,.05,Negative Effect,"(300, -37)",25939,6884-2,1,,"(-300, 0)",2127,,Regular,6884
50754,.05,Negative Effect,"(300, -37)",25939,6884-2,1,,"(-300, 0)",2128,,Regular,6884
50751,.05,Positive Effect,"(300, 176)",25940,6884-3,1,,"(-300, -250)",2129,,Regular,6884
50754,.05,Negative Effect,"(300, 176)",25940,6884-3,1,,"(-300, 0)",2130,,Regular,6884
50754,.05,Negative Effect,"(300, 176)",25940,6884-3,1,,"(-300, 0)",2131,,Regular,6884
25937,,Positive Effect,"(300, -37)",25939,6884-4,1,,"(300, -250)",2132,,Regular,6884
25937,,Positive Effect,"(300, -37)",25939,6884-4,1,,"(300, -250)",2133,,Regular,6884
25937,,Positive Effect,"(300, -37)",25939,6884-4,1,,"(300, -250)",2134,,Regular,6884
25937,,Positive Effect,"(300, 176)",25940,6884-5,1,,"(300, -250)",2135,,Regular,6884
25937,,Positive Effect,"(300, 176)",25940,6884-5,1,,"(300, -250)",2136,,Regular,6884
25937,,Positive Effect,"(300, 176)",25940,6884-5,1,,"(300, -250)",2137,,Regular,6884
25939,.05,Positive Effect,"(300, 176)",25940,6884-6,1,,"(300, -37)",2138,,Regular,6884
25939,.05,Positive Effect,"(300, 176)",25940,6884-6,1,,"(300, -37)",2139,,Regular,6884
25939,.05,Positive Effect,"(300, 176)",25940,6884-6,1,,"(300, -37)",2140,,Regular,6884
25939,.05,Positive Effect,"(300, 176)",25940,6884-6,1,,"(300, -37)",2141,,Regular,6884
25936,.05,Positive Effect,"(300, -250)",25937,6884-7,1,,"(-300, 176)",2142,,Regular,6884
25936,.05,Positive Effect,"(300, -250)",25937,6884-7,1,,"(-300, 176)",2143,,Regular,6884
25936,.05,Positive Effect,"(300, -250)",25937,6884-7,1,,"(-300, 176)",2144,,Regular,6884
25936,.05,Positive Effect,"(300, -37)",25939,6884-8,1,,"(-300, 176)",2145,,Regular,6884
25936,.05,Positive Effect,"(300, -37)",25939,6884-8,1,,"(-300, 176)",2146,,Regular,6884
25936,.05,Positive Effect,"(300, -37)",25939,6884-8,1,,"(-300, 176)",2147,,Regular,6884
25936,.05,Positive Effect,"(300, 176)",25940,6884-9,1,,"(-300, 176)",2148,,Regular,6884
25936,.05,Positive Effect,"(300, 176)",25940,6884-9,1,,"(-300, 176)",2149,,Regular,6884
25936,.05,Positive Effect,"(300, 176)",25940,6884-9,1,,"(-300, 176)",2150,,Regular,6884
25977,.05,Positive Effect,"(300, -50)",25982,6893-1,1,,"(-200, -350)",2151,,Regular,6893
25978,.05,Positive Effect,"(300, -50)",25982,6893-1,1,,"(-200, -184)",2152,,Regular,6893
25979,.05,Positive Effect,"(300, -50)",25982,6893-1,1,,"(-200, -18)",2153,,Regular,6893
25977,.05,Positive Effect,"(300, 150)",25980,6893-1,1,,"(-200, -350)",2154,,Regular,6893
25978,.05,Positive Effect,"(300, 150)",25980,6893-1,1,,"(-200, -184)",2155,,Regular,6893
25979,.05,Positive Effect,"(300, 150)",25980,6893-1,1,,"(-200, -18)",2156,,Regular,6893
25976,.05,Positive Effect,"(300, -50)",25982,6893-2,1,25977,"(-300, 150)",2157,"(-200, -350)",Moderator,6893
25976,.05,Positive Effect,"(300, -50)",25982,6893-2,1,25978,"(-300, 150)",2158,"(-200, -184)",Moderator,6893
25976,.05,Positive Effect,"(300, -50)",25982,6893-2,1,25979,"(-300, 150)",2159,"(-200, -18)",Moderator,6893
25976,.05,Positive Effect,"(300, 150)",25980,6893-2,1,25977,"(-300, 150)",2160,"(-200, -350)",Moderator,6893
25976,.05,Positive Effect,"(300, 150)",25980,6893-2,1,25978,"(-300, 150)",2161,"(-200, -184)",Moderator,6893
25976,.05,Positive Effect,"(300, 150)",25980,6893-2,1,25979,"(-300, 150)",2162,"(-200, -18)",Moderator,6893
25976,.05,Positive Effect,"(300, -50)",25982,6893-3,1,,"(-300, 150)",2163,,Regular,6893
25976,,Positive Effect,"(300, 150)",25980,6893-3,1,,"(-300, 150)",2164,,Regular,6893
25976,,Positive Effect,"(300, 150)",25980,6893-3,1,,"(-300, 150)",2165,,Regular,6893
26016,.01,Positive Effect,"(300, -1)",26000,6894-1a,1,,"(-300, -250)",2166,,Regular,6894
26016,.01,Positive Effect,"(300, -179)",26001,6894-1a,1,,"(-300, -250)",2167,,Regular,6894
26016,.01,Positive Effect,"(300, 50)",26002,6894-1a,1,,"(-300, -250)",2168,,Regular,6894
26016,.01,Positive Effect,"(300, -250)",26003,6894-1a,1,,"(-300, -250)",2169,,Regular,6894
26016,.01,Positive Effect,"(300, -250)",26004,6894-1a,1,,"(-300, -250)",2170,,Regular,6894
26016,.01,Positive Effect,"(300, -179)",26001,6894-1b,1,,"(-300, -250)",2171,,Regular,6894
26016,.01,Negative Effect,"(300, -1)",26000,6894-1b,1,,"(-300, -250)",2172,,Regular,6894
26016,.01,Negative Effect,"(300, -1)",26000,6894-1b,1,,"(-300, -250)",2173,,Regular,6894
26016,.01,Positive Effect,"(300, -250)",26003,6894-1c,1,,"(-300, -250)",2174,,Regular,6894
26016,.01,Negative Effect,"(300, -1)",26000,6894-1c,1,,"(-300, -250)",2175,,Regular,6894
26016,.01,Negative Effect,"(300, -1)",26000,6894-1c,1,,"(-300, -250)",2176,,Regular,6894
26018,.05,Positive Effect,"(300, -1)",26000,6894-2a,1,,"(-300, -179)",2177,,Regular,6894
26018,.05,Positive Effect,"(300, -179)",26001,6894-2a,1,,"(-300, -179)",2178,,Regular,6894
26018,.05,Positive Effect,"(300, 50)",26002,6894-2a,1,,"(-300, -179)",2179,,Regular,6894
26018,.05,Positive Effect,"(300, -250)",26003,6894-2a,1,,"(-300, -179)",2180,,Regular,6894
26018,.05,Positive Effect,"(300, -250)",26004,6894-2a,1,,"(-300, -179)",2181,,Regular,6894
26018,.05,Positive Effect,"(300, -179)",26001,6894-2b,1,,"(-300, -179)",2182,,Regular,6894
26018,.05,Negative Effect,"(300, -1)",26000,6894-2b,1,,"(-300, -179)",2183,,Regular,6894
26018,.05,Negative Effect,"(300, -1)",26000,6894-2b,1,,"(-300, -179)",2184,,Regular,6894
26018,.05,Positive Effect,"(300, -250)",26003,6894-2c,1,,"(-300, -179)",2185,,Regular,6894
26018,.05,Positive Effect,"(300, -250)",26003,6894-2c,1,,"(-300, -179)",2186,,Regular,6894
