"cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"Low",0.6571039413845394,531.1777777777778,"City:Small","Southwest",8709.0,0.4732235186873289,523.5020210185934,0.5327,25400.0,5926.0,8887.0,2.85810734781141,24871.89693,"Specialized"
"Low",0.9624,531.1777777777778,"City:Midsize","Southeast",21743.0,0.2192,523.5020210185934,0.8263,31600.0,9170.0,16990.0,1.8599175985874,39276.61817,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"City:Midsize","Southeast",33179.0,0.0521,523.5020210185934,0.6327,18600.0,1189.0,20015.0,0.92930302273295,21442.63406,"Professional"
"High",0.6471,580.0,"Town:Remote","Southeast",22500.0,0.4955,590.0,0.7368,35500.0,587.0,31045.0,1.14350136898051,55976.77926,"Comprehensive"
"Low",0.609,575.0,"City:Small","Southeast",21250.0,0.5902,555.0,0.9103,39200.0,18617.0,18064.0,2.17006200177148,75863.61729,"Comprehensive"
"Low",0.2937,450.0,"City:Small","Southeast",24250.0,0.2297,430.0,0.7895,23700.0,3049.0,15579.0,1.5212786443289,30846.50711,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Town:Fringe","Southeast",7010.0,0.4732235186873289,523.5020210185934,0.4498,27100.0,3682.0,10114.0,2.67945422187067,30918.3238,"Specialized"
"Low",0.6325,508.0,"City:Small","Southeast",20600.0,0.3837,445.0,0.7416,29100.0,9455.0,17770.0,1.63759144625774,38387.12559,"Comprehensive"
"Low",0.9035,485.0,"Town:Remote","Southeast",18000.0,0.4283,440.0,0.619,30600.0,8369.0,15361.0,1.99205780873641,40539.52596,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Town:Remote","Southeast",17293.0,0.28,523.5020210185934,0.6667,27600.0,3280.0,14827.0,1.86146894179537,29107.00659,"Comprehensive"
"Low",0.6406,531.1777777777778,"City:Midsize","Southeast",16000.0,0.4732235186873289,523.5020210185934,0.4922533516483511,41300.0,852.0,17975.0,2.29763560500695,46230.77969,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.5583,23700.0,2142.0,13097.0,1.80957471176605,24734.31104,"Specialized"
"Low",0.9093,531.1777777777778,"City:Small","Southeast",21000.0,0.4006,523.5020210185934,0.736,33300.0,8956.0,18333.0,1.81639666175749,52284.02793,"Comprehensive"
